Potential applied (V),Time (s),WE(1).Current (A),WE(1).Potential (V),Scan,Index,Q+,Q-,Current range
0.24658203125,2198.526217449255,0.000303985595703125,0.24603271484375,2,2069,0.09049470573663716,-0.08022628650069233,100 µA
0.2490234375,2198.7703584486385,0.000308624267578125,0.249114990234375,2,2070,0.09049470573663716,-0.08022628650069233,1 mA
0.25146484375,2199.014499448022,0.000313079833984375,0.251617431640625,2,2071,0.09049470573663716,-0.08022628650069233,1 mA
0.25390625,2199.258640447406,0.00031735229492187503,0.254058837890625,2,2072,0.09049470573663716,-0.08022628650069233,1 mA
0.25634765625,2199.5027814467894,0.00032174682617187503,0.256439208984375,2,2073,0.09049470573663716,-0.08022628650069233,1 mA
0.2587890625,2199.746922446173,0.000326141357421875,0.2589111328125,2,2074,0.09049470573663716,-0.08022628650069233,1 mA
0.26123046875,2199.9910634455564,0.0003304443359375,0.2613525390625,2,2075,0.09049470573663716,-0.08022628650069233,1 mA
0.263671875,2200.23520444494,0.00033441162109375,0.2637939453125,2,2076,0.09049470573663716,-0.08022628650069233,1 mA
0.26611328125,2200.479345444324,0.000338653564453125,0.26617431640625,2,2077,0.09049470573663716,-0.08022628650069233,1 mA
0.2685546875,2200.7234864437073,0.000342864990234375,0.2686767578125,2,2078,0.09049470573663716,-0.08022628650069233,1 mA
0.27099609375,2200.967627443091,0.00034722900390625,0.27105712890625,2,2079,0.09049470573663716,-0.08022628650069233,1 mA
0.2734375,2201.2117684424747,0.000351165771484375,0.27349853515625,2,2080,0.09049470573663716,-0.08022628650069233,1 mA
0.27587890625,2201.4559094418582,0.000355316162109375,0.2760009765625,2,2081,0.09049470573663716,-0.08022628650069233,1 mA
0.2783203125,2201.7000504412417,0.00035943603515625,0.27838134765625,2,2082,0.09049470573663716,-0.08022628650069233,1 mA
0.28076171875,2201.944191440625,0.000363494873046875,0.2808837890625,2,2083,0.09049470573663716,-0.08022628650069233,1 mA
0.283203125,2202.1883324400087,0.00036703491210937503,0.283294677734375,2,2084,0.09049470573663716,-0.08022628650069233,1 mA
0.28564453125,2202.4324734393927,0.0003712158203125,0.285736083984375,2,2085,0.09049470573663716,-0.08022628650069233,1 mA
0.2880859375,2202.676614438776,0.00037515258789062503,0.288238525390625,2,2086,0.09049470573663716,-0.08022628650069233,1 mA
0.29052734375,2202.9207554381596,0.000379180908203125,0.290618896484375,2,2087,0.09049470573663716,-0.08022628650069233,1 mA
0.29296875,2203.1648964375436,0.0003828125,0.292999267578125,2,2088,0.09049470573663716,-0.08022628650069233,1 mA
0.29541015625,2203.409037436927,0.000386749267578125,0.29547119140625,2,2089,0.09049470573663716,-0.08022628650069233,1 mA
0.2978515625,2203.6531784363106,0.000390533447265625,0.2979736328125,2,2090,0.09049470573663716,-0.08022628650069233,1 mA
0.30029296875,2203.897319435694,0.00039422607421875003,0.30035400390625,2,2091,0.09049470573663716,-0.08022628650069233,1 mA
0.302734375,2204.1414604350775,0.000397735595703125,0.302764892578125,2,2092,0.09049470573663716,-0.08022628650069233,1 mA
